shape,i,j,x,y,z,ux,uy,uz
2.0,21.0,1.0,3.0001140803164827,1.4631140803164828,0.0,0.0,0.0,-4.6159141921424455e-7
2.0,22.0,1.0,3.0001140803164827,0.8126140803164827,0.0,0.0,0.0,0.00016661727090848264
2.0,23.0,1.0,3.0,0.16501734212023322,0.0,0.0,0.0,0.0003333963673500705
2.0,24.0,1.0,3.0080429610882238,0.11205835642090678,0.0,0.0,0.0,0.0003470211505373392
2.0,25.0,1.0,3.0310574713394014,0.06689246190843257,0.0,0.0,0.0,0.00035853423478887794
2.0,26.0,1.0,3.0668924619084326,0.0310574713394014,0.0,0.0,0.0,0.00036752563537647247
2.0,27.0,1.0,3.112058356420907,0.008042961088223777,0.0,0.0,0.0,0.0003730954933948824
2.0,28.0,1.0,3.1650173421202332,0.0,0.0,0.0,0.0,0.00037467730737650285
2.0,29.0,1.0,3.8126140803164827,0.0001140803164827453,0.0,0.0,0.0,0.000368702943979799
2.0,30.0,1.0,4.463114080316483,0.0001140803164827453,0.0,0.0,0.0,0.0003634633070439357
2.0,31.0,1.0,5.1136140803164825,0.0001140803164827453,0.0,0.0,0.0,0.00035868970011234313
2.0,32.0,1.0,5.761210818512732,0.0,0.0,0.0,0.0,0.0003541548672353546
2.0,33.0,1.0,5.814169804212058,0.008042961088223777,0.0,0.0,0.0,0.0003515513980391949
2.0,34.0,1.0,5.859335698724533,0.0310574713394014,0.0,0.0,0.0,0.00034483585715189795
2.0,35.0,1.0,5.895170689293565,0.06689246190843257,0.0,0.0,0.0,0.0003346127445369977
2.0,36.0,1.0,5.918185199544742,0.11205835642090678,0.0,0.0,0.0,0.0003218739995129595
2.0,37.0,1.0,5.926228160632966,0.16501734212023322,0.0,0.0,0.0,0.00030705711314941736
2.0,38.0,1.0,5.9261140803164825,0.29986408031648293,0.0,0.0,0.0,0.00026945267469715513
2.0,39.0,1.0,5.9261140803164825,0.43761408031648275,0.0,0.0,0.0,0.00023103978399674388
2.0,40.0,1.0,5.9261140803164825,0.5753640803164828,0.0,0.0,0.0,0.00019262987974208735
2.0,41.0,1.0,5.9261140803164825,0.7131140803164828,0.0,0.0,0.0,0.00015419913215785795
1.0,1.0,2.0,2.926114080316483,2.213114080316483,0.5,-3.048271699574346e-6,0.0001304106750858561,-0.00017490021499099164
1.0,2.0,2.0,2.926114080316483,2.350864080316483,0.5,-3.045716878633539e-6,0.0001304272623184666,-0.00021078806235032908
1.0,3.0,2.0,2.926114080316483,2.488614080316483,0.5,-3.0435000688008192e-6,0.00013043911567366386,-0.0002466689428183349
1.0,4.0,2.0,2.926114080316483,2.626364080316483,0.5,-3.0414252060061757e-6,0.0001304489005589101,-0.00028252361472818575
1.0,5.0,2.0,2.9262281606329656,2.7612108185127324,0.5,-3.0400019393277857e-6,0.00013045685530046846,-0.0003176003930379193
1.0,6.0,2.0,2.918185199544742,2.8141698042120584,0.5,-3.0405172373756973e-6,0.00013045944729603174,-0.00033142131409088393
1.0,7.0,2.0,2.8951706892935642,2.859335698724533,0.5,-3.04222391774793e-6,0.00013046078529233436,-0.000343295209387164
1.0,8.0,2.0,2.859335698724533,2.8951706892935642,0.5,-3.0438350402025667e-6,0.00013046191126044575,-0.0003528144571971147
1.0,9.0,2.0,2.814169804212059,2.918185199544742,0.5,-3.045029707833029e-6,0.00013046346529480753,-0.0003590473763812724
1.0,10.0,2.0,2.761210818512732,2.9262281606329656,0.5,-3.046651394711452e-6,0.00013046475519541792,-0.00036141431106840135
1.0,11.0,2.0,2.113614080316483,2.926114080316483,0.5,-3.0654591456436324e-6,0.0001304463629427637,-0.0003645634354153186
1.0,12.0,2.0,1.4631140803164828,2.926114080316483,0.5,-3.0705271071102408e-6,0.0001301531583971173,-0.00036767696844639366
1.0,13.0,2.0,0.8126140803164827,2.926114080316483,0.5,-3.0584074156398996e-6,0.00012949763987085957,-0.0003708669607111609
1.0,14.0,2.0,0.16501734212023322,2.9262281606329656,0.5,-3.027255416934324e-6,0.00012844641548180106,-0.0003743005981271189
1.0,15.0,2.0,0.11205835642090678,2.918185199544742,0.5,-3.0087586942979584e-6,0.00012834921136078013,-0.0003725260224155158
