shape,i,j,x,y,z,ux,uy,uz
1.0,1.0,1.0,2.926114080316483,2.213114080316483,0.0,0.0,0.0,-1.4979433911209365e-5
1.0,2.0,1.0,2.926114080316483,2.350864080316483,0.0,0.0,0.0,-5.05420269656663e-6
1.0,3.0,1.0,2.926114080316483,2.488614080316483,0.0,0.0,0.0,4.165621525993286e-6
1.0,4.0,1.0,2.926114080316483,2.626364080316483,0.0,0.0,0.0,1.2950459419725412e-5
1.0,5.0,1.0,2.9262281606329656,2.7612108185127324,0.0,0.0,0.0,2.117098549840616e-5
1.0,6.0,1.0,2.918185199544742,2.8141698042120584,0.0,0.0,0.0,2.576103988184127e-5
1.0,7.0,1.0,2.8951706892935642,2.859335698724533,0.0,0.0,0.0,3.2886957466061266e-5
1.0,8.0,1.0,2.859335698724533,2.8951706892935642,0.0,0.0,0.0,4.080744451180585e-5
1.0,9.0,1.0,2.814169804212059,2.918185199544742,0.0,0.0,0.0,4.819142751057971e-5
1.0,10.0,1.0,2.761210818512732,2.9262281606329656,0.0,0.0,0.0,5.432421732307511e-5
1.0,11.0,1.0,2.113614080316483,2.926114080316483,0.0,0.0,0.0,0.00011031205806164516
1.0,12.0,1.0,1.4631140803164828,2.926114080316483,0.0,0.0,0.0,0.00016459552930272604
1.0,13.0,1.0,0.8126140803164827,2.926114080316483,0.0,0.0,0.0,0.00021916701514761803
1.0,14.0,1.0,0.16501734212023322,2.9262281606329656,0.0,0.0,0.0,0.0002757452420509236
1.0,15.0,1.0,0.11205835642090678,2.918185199544742,0.0,0.0,0.0,0.00027994043465322856
1.0,16.0,1.0,0.06689246190843257,2.8951706892935642,0.0,0.0,0.0,0.00028271303518949414
1.0,17.0,1.0,0.0310574713394014,2.859335698724533,0.0,0.0,0.0,0.00028429310851851326
1.0,18.0,1.0,0.008042961088223777,2.8141698042120584,0.0,0.0,0.0,0.0002847666467873262
1.0,19.0,1.0,0.0,2.7612108185127324,0.0,0.0,0.0,0.0002843275580448356
1.0,20.0,1.0,0.0001140803164827453,2.113614080316483,0.0,0.0,0.0,0.00027797115242996395
1.0,21.0,1.0,0.0001140803164827453,1.4631140803164828,0.0,0.0,0.0,0.00027574831937462107
1.0,22.0,1.0,0.0001140803164827453,0.8126140803164827,0.0,0.0,0.0,0.0002777087797379697
1.0,23.0,1.0,0.0,0.16501734212023322,0.0,0.0,0.0,0.00028374934954819
1.0,24.0,1.0,0.008042961088223777,0.11205835642090678,0.0,0.0,0.0,0.0002841735555681918
1.0,25.0,1.0,0.0310574713394014,0.06689246190843257,0.0,0.0,0.0,0.0002837152110847206
1.0,26.0,1.0,0.06689246190843257,0.0310574713394014,0.0,0.0,0.0,0.00028217362772691546
1.0,27.0,1.0,0.11205835642090678,0.008042961088223777,0.0,0.0,0.0,0.0002794540276446747
1.0,28.0,1.0,0.16501734212023322,0.0,0.0,0.0,0.0,0.0002753180919873835
1.0,29.0,1.0,0.8126140803164827,0.0001140803164827453,0.0,0.0,0.0,0.00021942249657784388
1.0,30.0,1.0,1.4631140803164828,0.0001140803164827453,0.0,0.0,0.0,0.0001655844976233167
1.0,31.0,1.0,2.113614080316483,0.0001140803164827453,0.0,0.0,0.0,0.00011214640304088346
1.0,32.0,1.0,2.7612108185127324,0.0,0.0,0.0,0.0,5.723050960033021e-5
1.0,33.0,1.0,2.814169804212059,0.008042961088223777,0.0,0.0,0.0,5.112676925689911e-5
