n_welds,w_spacing_in,J_eff_noholes_in4,J_eff_perforated_in4,ratio
2,108.0,0.030690424739077463,0.027102844514369406,0.8831042497714257
3,54.0,0.10901007641512814,0.0946649101794072,0.8684051354932345
4,36.0,0.22927404124090833,0.19427357358856917,0.847342213436354
5,27.0,0.3816726268919713,0.3145838409226765,0.8242242664463238
7,18.0,0.7367743442330698,0.5722989118864479,0.7767628126114662
10,12.0,1.2255147783969849,0.8817083412443161,0.7194595746920496
13,9.0,1.5574876994027043,1.0669794662832501,0.6850644577754522
19,6.0,1.8761961424980664,1.2305661197002284,0.6558835144292472
37,3.0,2.065868486879372,1.3423832238321254,0.6497912293826033
