case,J_in4,T_lbf_in,cells,cells_removed,ndofs
"single C, perforated",0.0012145711538342331,1.241505510676018,40526,1654,253560
"welded pair r5, perforated",0.5914656139899253,604.5819685621204,81052,3308,507120
"single C, no holes",0.0013270919448232744,1.3565215652212959,42180,0,256872
"welded pair r5, no holes",0.7531496058440815,769.8514682051423,84360,0,513744
