case,J_in4,T_lbf_in,quads,tris,ndofs
"single C, perforated",0.001203435212152915,1.230122618105024,44947,3172,295512
"welded pair r5, perforated",0.5722989118864479,584.9902252477551,89894,6344,591024
"single C, no holes",0.0013287207878710304,1.3581865295286002,40080,0,244254
"welded pair r5, no holes",0.7367743442330698,753.1130684295066,80160,0,488508
