z_in,beta_C1_over_betao,beta_C2_over_betao,welded_station
66.0,0.6012937867372357,0.5949323492402666,0
66.5,0.6073860244380253,0.5991084437234035,0
67.0,0.6133516975528384,0.6033212619694228,0
67.5,0.6191593678465824,0.607581400570163,0
68.0,0.6247780123488573,0.6119001716515433,0
68.5,0.6301764710967925,0.6162904228171503,0
69.0,0.63532499494166,0.6207650094739205,0
69.5,0.6401933916874437,0.6253388684970465,0
70.0,0.6447581130470355,0.6300223975183606,0
70.5,0.6489910992095493,0.6348294576571544,0
71.0,0.6528804945892933,0.6397519307668489,0
71.5,0.6564287743867453,0.6448264305877006,0
72.0,0.6594887309526979,0.6500073837537829,1
72.5,0.6614736014010635,0.655086427253357,1
73.0,0.6633190189810836,0.6601618937816982,1
73.5,0.6651586218333296,0.6652355554817659,1
74.0,0.6669982167130409,0.6703100903273522,1
74.5,0.6688435544571578,0.6753881884572367,1
75.0,0.6708277842061373,0.6804716762477779,1
75.5,0.6738838136365357,0.6856599673375164,0
76.0,0.6774273023472678,0.6907434015119791,0
76.5,0.6813119947139374,0.695676237157109,0
77.0,0.6855402696144812,0.700495284895015,0
77.5,0.6901002281636764,0.7051925013150337,0
78.0,0.6949637973973664,0.7097817783611311,0
78.5,0.700107450345624,0.7142735057386369,0
79.0,0.7055010344168943,0.718682590297626,0
79.5,0.7111148470927561,0.7230218384907238,0
80.0,0.7169177767155992,0.7273040345141167,0
80.5,0.722878847210504,0.7315404129600965,0
81.0,0.7289666642047086,0.7357414792690883,0
81.5,0.7351498029093296,0.7399168084608525,0
82.0,0.7413966391882961,0.744075445002082,0
82.5,0.747675484248243,0.7482260023406461,0
83.0,0.7539545799201697,0.7523769019451728,0
83.5,0.7602021628802706,0.7565365472568952,0
84.0,0.766386528712421,0.7607134973885513,0
84.5,0.7724760269974427,0.7649167058689882,0
85.0,0.7784391952474643,0.769155619154455,0
85.5,0.7842445892903621,0.7734405758824028,0
86.0,0.7898611687454223,0.7777826035322453,0
86.5,0.795257741366977,0.7821942398191886,0
87.0,0.8004045005844319,0.7866880036021968,0
87.5,0.8052711627725914,0.7912784859307079,0
88.0,0.8098340228221139,0.7959757364735118,0
88.5,0.8140647993345618,0.8007933406847968,0
89.0,0.8179512881942774,0.8057229696838686,0
89.5,0.8214957357591155,0.8108011922661192,0
90.0,0.8245512929200871,0.8159825928111567,1
90.5,0.8265323126987016,0.8210580967068766,1
91.0,0.8283738063421401,0.8261249258357504,1
91.5,0.8302088588288832,0.8311845052508464,1
92.0,0.8320430929553271,0.8362390386894567,1
92.5,0.8338823748119714,0.8412905818579536,1
93.0,0.83586272915012,0.8463401242524822,1
93.5,0.8389375805838456,0.8514831169934898,0
94.0,0.8425082091360296,0.8565145705314837,0
94.5,0.846421152116462,0.8613885277683957,0
95.0,0.8506791545336451,0.8661399963893177,0
95.5,0.8552700801010998,0.8707597020470893,0
96.0,0.8601656387422751,0.8752603132149631,0
96.5,0.8653418125915521,0.8796510980359251,0
97.0,0.8707679031086922,0.8839458404702315,0
97.5,0.8764136047802396,0.8881562370529903,0
98.0,0.8822471934688064,0.8922939475528284,0
98.5,0.8882370710341259,0.8963690744932785,0
99.0,0.8943512243790829,0.9003909796976634,0
99.5,0.9005576144313882,0.9043680890880947,0
100.0,0.9068240116930087,0.9083082962402683,0
100.5,0.9131181317901554,0.9122190691046963,0
101.0,0.9194076320896342,0.9161076968064754,0
101.5,0.925660175381744,0.9199814733719506,0
102.0,0.9318434934766917,0.9238478837248929,0
102.5,0.9379253799884184,0.9277148553950556,0
103.0,0.9438738241128537,0.9315908747751278,0
103.5,0.9496568385046413,0.9354853964140635,0
104.0,0.9552428527049003,0.9394086568499448,0
104.5,0.9606001583292767,0.9433724648041739,0
105.0,0.9656984686545187,0.947388653433155,0
105.5,0.9705070396559142,0.9514709408691044,0
106.0,0.9750016721163741,0.955628211541848,0
106.5,0.9791530998965464,0.9598714721333598,0
107.0,0.9829480269989027,0.9641887638479781,0
107.5,0.986383067036878,0.9686027200472083,0
108.0,0.9893190712422546,0.9730968286761758,1
108.5,0.9912276797600705,0.97758838026,1
109.0,0.9930108001113411,0.9820626597299142,1
109.5,0.9947978467774221,0.9865211756667619,1
110.0,0.9965956274290296,0.9909711198581312,1
110.5,0.9983649849313977,0.9954216623116219,1
111.0,0.9999999999999998,0.9999999999999987,0
