shape,i,j,x,y,z,ux,uy,uz
1.0,1.0,1.0,2.926114080316483,2.213114080316483,0.0,0.0,0.0,-0.0032390692957519336
1.0,2.0,1.0,2.926114080316483,2.350864080316483,0.0,0.0,0.0,-0.004184599338443876
1.0,3.0,1.0,2.926114080316483,2.488614080316483,0.0,0.0,0.0,-0.0051245375886268115
1.0,4.0,1.0,2.926114080316483,2.626364080316483,0.0,0.0,0.0,-0.0060606643675632
1.0,5.0,1.0,2.9262281606329656,2.7612108185127324,0.0,0.0,0.0,-0.006973238450044743
1.0,6.0,1.0,2.918185199544742,2.8141698042120584,0.0,0.0,0.0,-0.007330675751289927
1.0,7.0,1.0,2.8951706892935642,2.859335698724533,0.0,0.0,0.0,-0.007645531591411901
1.0,8.0,1.0,2.859335698724533,2.8951706892935642,0.0,0.0,0.0,-0.007899877681431189
1.0,9.0,1.0,2.814169804212059,2.918185199544742,0.0,0.0,0.0,-0.00806825540624515
1.0,10.0,1.0,2.761210818512732,2.9262281606329656,0.0,0.0,0.0,-0.008136549121767164
1.0,11.0,1.0,2.113614080316483,2.926114080316483,0.0,0.0,0.0,-0.008290822112861924
1.0,12.0,1.0,1.4631140803164828,2.926114080316483,0.0,0.0,0.0,-0.008440028081158983
1.0,13.0,1.0,0.8126140803164827,2.926114080316483,0.0,0.0,0.0,-0.008608677658028842
1.0,14.0,1.0,0.16501734212023322,2.9262281606329656,0.0,0.0,0.0,-0.008814754458565726
1.0,15.0,1.0,0.11205835642090678,2.918185199544742,0.0,0.0,0.0,-0.00878459381465541
1.0,16.0,1.0,0.06689246190843257,2.8951706892935642,0.0,0.0,0.0,-0.008660573221789808
1.0,17.0,1.0,0.0310574713394014,2.859335698724533,0.0,0.0,0.0,-0.008455038804977645
1.0,18.0,1.0,0.008042961088223777,2.8141698042120584,0.0,0.0,0.0,-0.008187963972862948
1.0,19.0,1.0,0.0,2.7612108185127324,0.0,0.0,0.0,-0.007868085680605156
1.0,20.0,1.0,0.0001140803164827453,2.113614080316483,0.0,0.0,0.0,-0.003942571132472317
1.0,21.0,1.0,0.0001140803164827453,1.4631140803164828,0.0,0.0,0.0,-2.3166016532902016e-5
1.0,22.0,1.0,0.0001140803164827453,0.8126140803164827,0.0,0.0,0.0,0.003895879477389151
1.0,23.0,1.0,0.0,0.16501734212023322,0.0,0.0,0.0,0.007820273000894808
1.0,24.0,1.0,0.008042961088223777,0.11205835642090678,0.0,0.0,0.0,0.008140248248679479
1.0,25.0,1.0,0.0310574713394014,0.06689246190843257,0.0,0.0,0.0,0.008407834992233496
1.0,26.0,1.0,0.06689246190843257,0.0310574713394014,0.0,0.0,0.0,0.0086142319982294
1.0,27.0,1.0,0.11205835642090678,0.008042961088223777,0.0,0.0,0.0,0.008739369457757808
1.0,28.0,1.0,0.16501734212023322,0.0,0.0,0.0,0.0,0.008770848678431665
1.0,29.0,1.0,0.8126140803164827,0.0001140803164827453,0.0,0.0,0.0,0.008580579474960522
1.0,30.0,1.0,1.4631140803164828,0.0001140803164827453,0.0,0.0,0.0,0.008427656982323735
1.0,31.0,1.0,2.113614080316483,0.0001140803164827453,0.0,0.0,0.0,0.008294996106160938
1.0,32.0,1.0,2.7612108185127324,0.0,0.0,0.0,0.0,0.008158602594683659
1.0,33.0,1.0,2.814169804212059,0.008042961088223777,0.0,0.0,0.0,0.008091528670454507
1.0,34.0,1.0,2.859335698724533,0.0310574713394014,0.0,0.0,0.0,0.007923967958214172
1.0,35.0,1.0,2.8951706892935642,0.06689246190843257,0.0,0.0,0.0,0.007671971508913858
1.0,36.0,1.0,2.918185199544742,0.11205835642090678,0.0,0.0,0.0,0.0073596976816435586
1.0,37.0,1.0,2.9262281606329656,0.16501734212023322,0.0,0.0,0.0,0.006998332753488877
1.0,38.0,1.0,2.926114080316483,0.29986408031648293,0.0,0.0,0.0,0.006088013921389214
1.0,39.0,1.0,2.926114080316483,0.43761408031648275,0.0,0.0,0.0,0.005151763175816107
1.0,40.0,1.0,2.926114080316483,0.5753640803164828,0.0,0.0,0.0,0.004211541130877435
1.0,41.0,1.0,2.926114080316483,0.7131140803164828,0.0,0.0,0.0,0.003266382734247596
2.0,1.0,1.0,5.9261140803164825,2.213114080316483,0.0,0.0,0.0,-0.0018027824668040027
2.0,2.0,1.0,5.9261140803164825,2.350864080316483,0.0,0.0,0.0,-0.0028662091185270864
2.0,3.0,1.0,5.9261140803164825,2.488614080316483,0.0,0.0,0.0,-0.003927182707092873
2.0,4.0,1.0,5.9261140803164825,2.626364080316483,0.0,0.0,0.0,-0.004986616130653091
2.0,5.0,1.0,5.926228160632966,2.7612108185127324,0.0,0.0,0.0,-0.006023363078766027
2.0,6.0,1.0,5.918185199544742,2.8141698042120584,0.0,0.0,0.0,-0.006433710608552103
2.0,7.0,1.0,5.895170689293565,2.859335698724533,0.0,0.0,0.0,-0.006790002374752796
2.0,8.0,1.0,5.859335698724533,2.8951706892935642,0.0,0.0,0.0,-0.007079660214770754
2.0,9.0,1.0,5.814169804212058,2.918185199544742,0.0,0.0,0.0,-0.007274559281131768
