z_in,beta_C1_over_betao
50.0,0.45882770471565726
50.2,0.46097538892926226
50.4,0.4629761518110928
50.6,0.46496470850240657
50.8,0.4672295436676847
51.0,0.46951661142834983
51.2,0.4714650901127152
51.4,0.4732986661467437
51.6,0.47513988757453907
51.8,0.4768667300690039
52.0,0.47859151513401105
52.2,0.48036082192021407
52.4,0.4819727208039931
52.6,0.48355753136069024
52.8,0.4854014814486837
53.0,0.4872360010068806
53.2,0.48873115223609204
53.4,0.49011015443135497
53.6,0.4914517314088149
53.8,0.4926528647011802
54.0,0.4937939294301444
54.2,0.49476207877458256
54.4,0.495597059219472
54.6,0.4964292180574188
54.8,0.497459879214925
55.0,0.4985459707763969
55.2,0.4995762128831562
55.4,0.5005830081544872
55.6,0.5014857526261852
55.8,0.5023101003145135
56.0,0.5031632408452718
56.2,0.5039778515727552
56.4,0.5047741506565232
56.6,0.505590039754558
56.8,0.5065049207852439
57.0,0.5075717606520308
57.2,0.5090237790218374
57.4,0.5105674410000679
57.6,0.5119430146205115
57.8,0.5133029607978371
58.0,0.5148042571085631
58.2,0.5162809188877233
58.4,0.5177691779168898
58.6,0.5193217410698536
58.8,0.5209063286394708
59.0,0.5226463165372255
59.2,0.5247252839564917
59.4,0.5268493587294418
59.6,0.5287257775107093
59.8,0.5305644299779303
60.0,0.5325555984872451
60.2,0.5344796317393713
60.4,0.5363924768902041
60.6,0.538354215158628
60.8,0.5403503143037766
61.0,0.5424929846800411
61.2,0.5449170870174267
61.4,0.54735245913307
61.6,0.5495551893846918
61.8,0.5517049742332908
62.0,0.5539817556432696
62.2,0.5562053500243833
62.4,0.5583911286428119
62.6,0.5606108622278548
62.8,0.562918214670434
63.0,0.5653493144784881
63.2,0.5679140981873246
63.4,0.5704515614509771
63.6,0.5728153049911682
63.8,0.5751102242524984
64.0,0.5774948173596247
64.2,0.579862543312969
64.4,0.5821557377975287
64.6,0.5844675744270584
64.8,0.5869428684548632
65.0,0.5895119789813474
65.2,0.5920268786618635
65.4,0.5944785701995549
65.6,0.5968335048076785
65.8,0.5991038565853197
66.0,0.6014251024163607
66.2,0.6037697148900402
66.4,0.6060009281704848
66.6,0.608235319520689
66.8,0.6107047528399137
67.0,0.61323315210614
67.2,0.6155327937550666
67.4,0.6177385870773318
67.6,0.6199164507508813
67.8,0.6219943382049887
68.0,0.624090219693492
68.2,0.6262375762091917
68.4,0.6282381096078237
68.6,0.6302264232469289
68.8,0.6324903241397923
69.0,0.634776385843746
69.2,0.6367252358575255
69.4,0.6385592590982918
69.6,0.6404002281854351
69.8,0.6421268151603664
70.0,0.6438514784243526
70.2,0.6456202877267644
70.4,0.6472318227376633
70.6,0.6488162393330839
70.8,0.6506587249817095
71.0,0.6524916775224877
71.2,0.6539873667785547
71.4,0.6553670022351749
71.6,0.6567081315506118
71.8,0.6579088355305637
72.0,0.6590497466754796
72.2,0.6600175462060779
72.4,0.6608524143941541
72.6,0.6616844955169081
72.8,0.6627136194502458
73.0,0.6637981320120486
73.2,0.664829799207192
73.4,0.6658381608469953
73.6,0.6667410119689708
73.8,0.6675654860942063
74.0,0.6684191858719738
74.2,0.66923350219343
74.4,0.6700298323875425
74.6,0.6708457100778319
74.8,0.6717585839475196
75.0,0.6728231116109896
75.2,0.6742756771121969
75.4,0.6758197538053894
75.6,0.6771936423993623
75.8,0.6785517863525323
76.0,0.6800516858403203
76.2,0.6815256383704835
76.4,0.6830117396229275
76.6,0.6845620772041673
76.8,0.6861418380802733
77.0,0.6878769386376119
77.2,0.6899561308886794
77.4,0.692080688397644
77.6,0.6939549338123977
77.8,0.6957913739157454
78.0,0.6977808362749356
78.2,0.6997016619503134
78.4,0.7016119796331638
78.6,0.7035711490266787
78.8,0.7055613935890054
79.0,0.7076982485753833
79.2,0.7101230765553774
79.4,0.712559570634602
79.6,0.7147600761085543
79.8,0.7169076311695515
80.0,0.7191828619738523
80.2,0.7214030941816802
80.4,0.7235863689799641
80.6,0.7258035901939923
80.8,0.7281044329700344
81.0,0.7305291879808248
81.2,0.7330956412178032
81.4,0.7356353131869742
81.6,0.737997198326836
81.8,0.7402902810461635
82.0,0.7426738960498931
82.2,0.7450384833561277
82.4,0.7473295840850515
82.6,0.749639342207991
82.8,0.7521078797445386
83.0,0.7546705378674309
83.2,0.7571883599738815
83.4,0.7596436290503873
83.6,0.7619973976241483
83.8,0.7642666195681288
84.0,0.7665877467615471
84.2,0.7689297521630231
84.4,0.7711595671055872
84.6,0.773392588411833
84.8,0.7758554463585976
85.0,0.778377730186026
85.2,0.7806816215925964
85.4,0.7828923899202495
85.6,0.7850699850842557
85.8,0.7871476431933173
86.0,0.7892444148505808
86.2,0.7913899205110443
86.4,0.793389932586248
86.6,0.7953777594446595
86.8,0.7976357797280336
87.0,0.7999166029406627
87.2,0.8018708351660507
87.4,0.8037109765517048
87.6,0.8055527081574255
87.8,0.8072801060352318
88.0,0.809006828139739
88.2,0.8107747893782805
88.4,0.8123869288496014
88.6,0.8139720387747796
88.8,0.8158103232667466
89.0,0.817640062521084
89.2,0.8191421201942297
89.4,0.8205288016872611
89.6,0.821872178479303
89.8,0.823074950694881
90.0,0.8242185599941353
90.2,0.8251840844575374
90.4,0.8260177581299436
90.6,0.826848337574438
90.8,0.8278721165122244
91.0,0.8289520482547105
91.2,0.8299857010166602
91.4,0.8309964097902187
91.6,0.8318979162415894
91.8,0.8327208634158404
92.0,0.8335731963183539
92.2,0.8343846574133014
92.4,0.8351786310171518
92.6,0.835992102845858
92.8,0.83690072745044
93.0,0.8379634125096919
93.2,0.8394251757662384
93.4,0.840982130846085
