case,welds,contact,ndofs,T_lbf_in,J_eff_in4,J_eff_over_J_box,J_box_in4,two_J_C_in4,J_abaqus_r5_in4,sumFx_over_T
"Abaqus weld layout (7 × 3 in), welds only",abaqus,false,109716,784.7761281316957,0.7677504765383301,0.4141573847559767,1.8537650294240002,0.002669702,0.2929,2.2909456522699969e-10
"Abaqus weld layout + bilateral normal lip/web tie between welds",abaqus,true,109716,784.8211439310422,0.7677945157237246,0.41418114137275147,1.8537650294240002,0.002669702,0.2929,2.364186405765218e-10
"Fully welded (37 back-to-back 3 in welds)",full,false,109716,2112.3062887900087,2.066479982863717,1.1147475273637086,1.8537650294240002,0.002669702,0.2929,6.1033969084808e-11
"No welds (two independent C)",none,false,109716,2.709959806575974,0.002651167458229919,0.0014301529137453234,1.8537650294240002,0.002669702,0.2929,6.657514334801848e-8
"Abaqus weld layout, twist applied about C1 shear center",abaqus,false,109716,784.7761298643096,0.7677504782333551,0.4141573856703455,1.8537650294240002,0.002669702,0.2929,4.751670184278813e-10
"Abaqus weld layout, Cs = 0",abaqus,false,109716,785.3198636428674,0.7682824157536662,0.41444433547890697,1.8537650294240002,0.002669702,0.2929,1.6616980564463572e-10
"Abaqus weld layout, fine mesh (8/flat, 10/corner, 444 along)",abaqus,false,432540,774.3995589082197,0.757599026104787,0.40868125899439767,1.8537650294240002,0.002669702,0.2929,2.1552653196718253e-10
