case,drilling,n_flat,n_corner,n_z,Cs,rotate_about,L,ndofs,T_lbf_in,J_end_in4,J_slope_ls_in4,J_slope_web_in4,J_thin_walled_in4,J_saint_venant_2D_in4,J_end_over_J_SV,J_end_over_J_thin,R2_ls,R2_web,max_dev_ls_over_betao,max_dev_web_over_betao,sumFx,sumFy
"Abaqus mesh (4/flat, 5/corner, 222 along), Hughes–Brezzi drilling",hughes_brezzi,4,5,222,0.1,shear_center,111.0,54858,1.354980263448322,0.0013255840814616463,0.001325630039970302,0.0013256180772496906,0.001340149951734729,0.0013348514696218485,0.9930573637808351,0.9891311638266836,0.9999999996907513,0.999999999539414,1.7349237163913345e-5,1.4506598329348808e-5,-3.873830821052304e-8,1.5478261003454286e-7
"same, Cs = 0 (unrelaxed transverse shear)",hughes_brezzi,4,5,222,0.0,shear_center,111.0,54858,1.3585636970114805,0.001329089772737333,0.001329102313217208,0.0013290988324473618,0.001340149951734729,0.0013348514696218485,0.9956836419514541,0.9917470586160307,0.9999999999750955,0.9999999999632133,5.280975756173645e-6,4.9942674070976856e-6,-2.1911220119547048e-8,9.708242977579662e-8
"same, rotation applied about the centroid",hughes_brezzi,4,5,222,0.1,centroid,111.0,54858,1.354979664068389,0.0013255834950852104,0.0013256294522323144,0.001325617489702614,0.001340149951734729,0.0013348514696218485,0.9930569244986758,0.9891307262812917,0.9999999996907775,0.9999999995394446,1.7340160915653435e-5,1.4497877672860204e-5,-1.0969100603525073e-8,5.4162601653695575e-8
"same, half length L = 55.5 in",hughes_brezzi,4,5,111,0.1,shear_center,55.5,27552,2.707998263178578,0.0013246242351751484,0.0013246667257600844,0.0013246276502519617,0.001340149951734729,0.0013348514696218485,0.9923382977960855,0.9884149407762292,0.9999999997103175,0.9999999999354777,1.603931722802404e-5,5.503948261216529e-6,-1.709121086324039e-8,7.529405222916896e-8
"Coarse mesh (2/flat, 2/corner, 111 along), Hughes–Brezzi",hughes_brezzi,2,2,111,0.1,shear_center,111.0,12768,1.348368442609961,0.00131911570351605,0.001319183284654683,0.0013191650715199536,0.001336944152868205,0.0013348514696218485,0.9882115977216128,0.9866647763005606,0.9999999992046539,0.999999998855897,2.5623980003108837e-5,2.4372355944893287e-5,5.629410201879459e-9,9.913649315351769e-8
"Fine mesh (8/flat, 10/corner, 444 along), Hughes–Brezzi",hughes_brezzi,8,10,444,0.1,shear_center,111.0,216270,1.3567841338453404,0.0013273488170432717,0.0013273835483032877,0.0013273745516395427,0.0013405891406489,0.0013348514696218485,0.9943794101820914,0.990123503761026,0.9999999998312379,0.9999999997500169,1.312227330234339e-5,9.733205801575051e-6,-5.7934057397755756e-8,3.782013376640858e-7
"Abaqus mesh, original absolute drilling penalty (1/100)",penalty,4,5,222,0.1,shear_center,111.0,54858,2.9296896438782567,0.002866130275333101,0.002866218216855028,0.0028661951735193853,0.001340149951734729,0.0013348514696218485,2.1471529533881775,2.1386638649078775,0.9999999997730833,0.9999999996520373,1.535226227082631e-5,1.1938505195888127e-5,-1.7578218890895725e-8,0.37948988238232084
"Fine mesh, original absolute drilling penalty (1/100)",penalty,8,10,444,0.1,shear_center,111.0,216270,4.6812262722799085,0.004579667465016887,0.004579798115938689,0.004579767791401472,0.0013405891406489,0.0013348514696218485,3.430844231916129,3.4161603478304623,0.9999999998157525,0.9999999997155954,1.428663005762637e-5,1.0975833696948156e-5,-1.4608222084419586e-7,0.7668293503314817
